location,date.x,people_fully_vaccinated,population,vaccination_percent,date.y,new_cases,new_cases_smoothed,new_cases_final
Venezuela,2021-09-21,5250000,28704947,18.289530372586995,2021-09-27,1260,1005.429,1260
Vietnam,2021-09-26,8286558,98168829,8.441129515765132,2021-09-27,9362,10043.857,9362
Wallis and Futuna,2021-09-21,5016,11094,45.213628988642505,NA,NA,NA,NA
Yemen,2021-09-12,14909,30490639,0.04889697457636096,2021-09-27,54,38.571,54
Zambia,2021-09-27,385222,18920657,2.0359863825024678,2021-09-27,10,52.143,10
Zimbabwe,2021-09-27,2212801,15092171,14.661913120385398,2021-09-27,294,247.571,294
Burundi,NA,NA,NA,NA,2021-09-27,0,309.571,309.571
Eritrea,NA,NA,NA,NA,2021-09-27,0,2.857,2.857
Marshall Islands,NA,NA,NA,NA,2021-09-27,0,0,0
Micronesia (country),NA,NA,NA,NA,2021-09-27,0,0,0
Palau,NA,NA,NA,NA,2021-09-27,0,0,0
Vatican,NA,NA,NA,NA,2021-09-27,0,0,0
